PDF Path,Text
36.pdf,"Alleged misappropriation of funds – Manager (Case No. 050/04)

The Investigation Task Force (ITF) has been investigating an allegation regarding administrative irregularities regarding the insurance coverage for Pristina Airport by a London-based Company, who then purchased the cover from Insurance Company 1 between 2001 and 2003.

Based on extensive documentation obtained from UNMIK Pillar II, the Kosovo Trust Agency (KTA) and Public Enterprise Airport Pristina (PEAP), the ITF determined that the responsible Manager did not undertake efforts in 2002 or 2003 to invite international tenders for the Airport’s insurance coverage. According to UNMIK regulations 1999/2 – Finance Administration Instruction on Public Procurement using Kosovo Consolidated Funds – and in view of the cost of the premiums of more than $125,000 USD, such a tender should have been undertaken. The Manager did not prepare an international tender for at least the period 2 October 2003 to 1 October 2004, instead, he concluded a contract in favour of Insurance Company 1 effecting insurance coverage pertaining to Pristina International Airport for a further year. It should be considered as to whether this conduct demonstrates probable cause with regard to the waste or misappropriation of public funds. Such an issue should be determined by a review of the matter by the Department of Justice."
38.pdf,"""In the IAU memo, reference is made to a letter of complaint dated 28-06-04 from Vendor 1, a company that competed for the tender and that was subsequently awarded the single source contract to supply summer uniforms. The author of the letter, Vendor 1 Manager, alleged the existence of rumours and witnesses in the matter of the bribery of Procurement Officer 1, Pristina Airport, and the Finance Officer, Pristina Airport, by one of Vendor 1 Manager’s competitors in the tender process, Vendor 2. Vendor 1 Manager’s letter also identified his intention to seek legal action against Procurement Officer 1 for allegedly violating “the procurement rules” by: replacing a member of the Bid Evaluation Committee in the competitive tender; allowing a member of the Finance Department, the Finance Officer, to sit on the committee; and favouring Vendor 2 in the tender process."""
38.pdf,"""Investigation Details

Procurement Officer 1 managed the competitive tender for the supply of uniforms. In addition to Vendor 1, Vendor 2 and Vendor 3 submitted bids following which Procurement Officer 1 convened and chaired a Bid Opening Committee on 10-06-04. Present, in addition to the committee that comprised members of the various airport work groups, were representatives of the three bidding companies including Vendor 1 Manager.

Procurement Officer 1 also formed and chaired a Bid Evaluation Committee to assess the offerings of the competitors, which comprised a range of uniforms and accessories for the various categories of airport employees. On 18-06-04, the committee, though not satisfied with all Vendor 2’s samples, tentatively decided in favour of that company, the median bidder in terms of price (Vendor 1 was the highest bidder). The committee resolved that Vendor 2 would be approached to determine the feasibility of no-cost design changes to one of the uniforms for women employees. The committee reconvened on 23-06-04 at the request of Pristina Airport Official. During the meeting, Pristina Airport Official announced the cancellation of the tender. Pristina Airport Official later awarded a single-source procurement contract for summer uniforms for newly hired staff, in the amount of €106,059, to Vendor 1, which had supplied uniforms to the airport under two previous contracts."""
38.pdf,"""Allegation 2: that Procurement Officer 1 replaced a member of the Bid Evaluation Committee

Procurement Officer 1 explained to the ITF that the original nominee to the committee, Committee member 1, had not been at work on the day that the committee first convened and, therefore, had been replaced by Committee member 2, who then attended the second session for continuity purposes. Committee member 1 and Committee member 2 confirmed Procurement Officer 1’s explanation for the replacement.
Allegation 3: that Procurement Officer 1 inappropriately included the Finance Officer in the Bid Evaluation Committee

The Finance Officer, Procurement Officer 1, and Pristina Airport Official told the ITF that the Finance Officer participated on the Bid Evaluation Committee. However, Procurement Officer 1 and Pristina Airport Official each said that the other had nominated the Finance Officer to the committee.
KTA legal staff advised the ITF that the wisdom of allowing a representative of the Finance Department to participate in bid evaluations is questionable because, generally, officers whose function involves payment should not evaluate contractors to whom payment will become due. According to KTA legal staff, however, such participation is not precluded by any rule or law. Section 23.9.2 of Finance Administration Instruction No. 2/1999 (Revised 15 December 1999) – Public Procurement Using Kosovo Consolidated Budget Funds precludes only an “approving officer” from the Procuring Entity who will eventually sign a contract from serving as a tender evaluator. The Finance Officer was not an “approving officer” in this procurement process and, therefore, was not prevented from serving as an evaluator."""
38.pdf,"""When asked by the ITF to substantiate his/her allegation that Procurement Officer 1 and the Finance Officer had accepted bribes from Vendor 2, Vendor 1 Manager said that he/she had heard the rumours in Pristina coffee bars but that he/she could not remember from whom he/she had heard these rumours. He/she said that the witnesses to whom he/she had referred in his letter of complaint were actually the same persons from whom he/she heard the rumours. Vendor 1 Manager was unable to suggest which representative of Vendor 2 had paid the bribes.

Vendor 2 Employee who attended the meeting of the Bid Opening Committee; Vendor 2 Manager; and Vendor 2 Director all told ITF that they had not paid bribes to Procurement Officer 1 and/or the Finance Officer.

Procurement Officer 1 and the Finance Officer both denied accepting bribes or any other consideration from any person in this matter."""
39.pdf,"""Until the end of June 2002, responsibility for the administration of the Pristina Airport was entrusted to the Civil Administration Pillar (Pillar II) of UNMIK, including Official 1 and Official 2. Pillar II supervised the Department of Transport and Infrastructure (DOTI) Official 1. The DOTI was later known as the Transport Sector of the UNMIK Directorate of Infrastructure Affairs. DOTI Official 1 left UNMIK at the end of June 2002. DOTI Official 2 was recruited by the DOTI as an international staff member on 31 July 2000 in charge of airport operations, reporting to DOTI Official 1, and continued in this role until 30 September 2001. Engineering expertise was provided by a series of engineers seconded from the armed forces of a United Nations member state, specifically Airport Engineer 1, Airport Engineer 2, and Airport Engineer 3, and later by the Consultant from the Consulting Firm."""
4.pdf,"""The evaluation report also concluded that the company Vendor 1 has one manufacturer in Peja, which can’t offer the required quality and had too long a date for completion.

In the case of Vendor 2, the evaluation report states that the company provided an incomplete offer.

When asked in what manner the offer was incomplete in interview, the Procurement Officer, a member of the Evaluation Committee, stated that Vendor 2 submitted an offer, which did not contain all the required articles.

The Procurement Officer was asked why his/her explanation was not put in the tender evaluation. He/she replied that it was due to his/her lack of English. In view of the fact that the evaluation committee all signed the evaluation report, they would have been aware of the reason for Vendor 2’s rejection."""
4.pdf,"""Until the end of June 2002, responsibility for the administration of the Pristina Airport was entrusted to the Civil Administration Pillar (Pillar II) of UNMIK, including Official 1 and Official 2 Department of Transport and Infrastructure (DOTI) Official 1 was also involved in the matter. The DOTI was later known as the Transport Sector of the UNMIK Directorate of Infrastructure Affairs. DOTI Official 1 left UNMIK at the end of June 2002. DOTI Official 2 was recruited by DOTI as an international staff member on 31 July 2000 in charge of airport operations, reporting to DOTI Official 1, and continued in this role until 30 September 2001. Engineering expertise was provided by a series of engineers seconded from one UN member state’s Army, specifically Airport Engineer 1, Airport Engineer 2, and Airport Engineer 3, and later by a Consultant from the Consulting Company."""
4.pdf,"""Until the end of June 2002, responsibility for the administration of the Pristina Airport was entrusted to the Civil Administration Pillar (Pillar II) of UNMIK, including Official 1 and Official 2 Department of Transport and Infrastructure (DOTI) Official 1 was also involved in the matter. The DOTI was later known as the Transport Sector of the UNMIK Directorate of Infrastructure Affairs. DOTI Official 1 left UNMIK at the end of June 2002. DOTI Official 2 was recruited by DOTI as an international staff member on 31 July 2000 in charge of airport operations, reporting to DOTI Official 1, and continued in this role until 30 September 2001. Engineering expertise was provided by a series of engineers seconded from one UN member state’s Army, specifically Airport Engineer 1, Airport Engineer 2, and Airport Engineer 3, and later by a Consultant from the Consulting Company.

On 1 July 2002, the responsibility for the administration of the Airport passed from Pillar II to the Kosovo Trust Agency (KTA) and Pillar IV. The Divisional Manager was appointed. Under him/her were the PEAP Official and Official 3.

On 1 April 2004 Pristina International Airport, which had until that time been under the jurisdiction of KFOR was handed over to civilian jurisdiction, under ICAO regulations.

It is against this background of change that procurement procedures relating to the following contract have been examined."
4.pdf,"""Allegation 7

(It is alleged that two further small quantities of uniforms in the sums of €792 and €1,188 were purchased without any supporting documents or justification)

Two invoices dated 4 July 2003 and 5 August 2003 indicate that two quantities of 99 and 66 T-Shirts respectively were ordered with a value of €1188 and €792 respectively.

When asked about these extra purchases, the PEAP Official stated that he/she assumed the Airport hired some students and temporary staff for three months and that the T-Shirts were for them to wear. The PEAP Official subsequently produced two written requests from the Security Official, for the two orders dated 1 July 2003 and 1 August 2003."""
4.pdf,"""When asked why two orders were placed within one month of one another, rather than together, the PEAP Official stated that the airport had run out of T-shirts and therefore purchased them from the same company in order to have the same design of T-shirt.

This explanation is not a credible one, since it suggests that the Airport did not have any idea as to the numbers of temporary staff being taken on over a period of only three months. If this was the case, it indicates poor management.

An alternative could be that two orders were placed to avoid having to organise a competitive bidding procedure, since the limit for single source procurements at that time was €1250."""
4.pdf,"""In addition, the two requests specify that the shirts should be the same as the previous shirts of the existing workers. This requirement suggests that Vendor 3, who had just won a tender for the provision of summer uniforms to Pristina Airport in April 2003, had already been chosen as the supplier.

The Security Official stated that he/she had been asked to write a request for uniforms by the Divisional Manager following a conversation between them on the need for uniforms for the student workers. When asked why he/she had addressed the two requests to the PEAP Official rather than the Divisional Manager, he/she replied that this was because the PEAP Official was his/her superior. However, neither of the requests mentions that the Security Official has spoken to the Divisional Manager."""
4.pdf,"""METHODOLOGY

This investigation was conducted pursuant to Executive Decision No 2003/16 on the establishment of the Investigation Task Force. The ITF investigators conducted an enquiry into the allegations raised by conducting interviews with all relevant persons; obtaining documents from the Pristina Airport administration and from the Pillar IV administration, which were then analysed for relevance to the inquiry at hand.

BACKGROUND INFORMATION

Pristina International Airport constitutes a state owned enterprise under Yugoslavian law. The assets of the airport include the runways, terminal buildings, hangar, fuel storage facilities and equipment. During the period covered by this investigation, from 2001 until 2003, they were maintained by the Public Enterprise Airport Pristina (PEAP) in cooperation with Military Units of the Kosovo Force (KFOR). Pursuant to United Nations Security Council Resolution 1244 dated 10 June 1999, and UNMIK Regulation No 1/1999 dated 25 July 1999, UNMIK is mandated to administer the territory of Kosovo, including state owned and publicly owned assets. This includes Pristina International Airport."""
4.pdf,"""A bid evaluation report dated 6 December 2002 indicates that 8 firms were issued with documents and 4 bids were submitted. The bids were opened on 27 November 2002. The report indicates at page 3 that Vendor 3’s offer in the sum of €157,060 was almost twice as much as the other two bids from Vendor 1 (€80,198) and Vendor 2 (€86,850), which were rejected.

The reason specified for rejection of the bid by Vendor 1 on page four of the evaluation was that the evaluation committee asked the company to produce a specimen of each type of uniform and it failed to do so. This is confirmed in a letter to Vendor 1 dated 27 November 2002. A similar letter was delivered to Vendor 3."""
43.pdf,"""III. METHODOLOGY

This investigation was conducted pursuant to Executive Decision No 2003/16 on the establishment of the Investigation Task Force. The ITF investigators conducted an enquiry into the allegations raised by interviews with persons indicated to be witnesses and persons potentially implicated in the allegations; by obtaining documents from the Pristina Airport administration and from Pillar IV, which were then analysed for relevance to the inquiry at hand.

IV. BACKGROUND INFORMATION

Pristina International Airport constitutes a state owned enterprise under Yugoslavian law. The assets of the airport include the runways, terminal buildings, hanger, fuel storage facilities and equipment. During the period covered by this investigation, from 2001 until 2003, they were maintained by the Public Enterprise Airport Pristina, (PEAP) in cooperation with Military Units of the Kosovo Force (KFOR). Pursuant to United Nations Security Council Resolution 1244 dated 10 June 1999, and UNMIK Regulation No 1/1999 dated 25 July 1999. UNMIK is mandated to administer the territory of Kosovo, including state owned and publicly owned assets. This includes Pristina International Airport."""
44.pdf,"""Conclusions

Although PEAP Official as the responsible official at that time denied that he/she had requested Vendor 2 Representative support for the FIDS supply and cabling procurements, Vendor 2 Representative granted the ITF that he/she acted on PEAP Official’s request.

Nevertheless, PEAP official bears the overall responsibility for his/her department (PEAP), and this investigation proved again that he/she did not fully meet the requirements as manager in a sensitive area like the Airport.

The entire matter has to be seen as an administrative irregularity. It is obvious that international procurement rules had been breached but the Procurement Regulation that was in force at that
time - Financial Agreement 1999/2 - does not indicate cases like described before.

Furthermore, to prove a possible case of corruption, there are not enough indications."""
44.pdf,"Allegation

An official of a non-Airport related company, supported the procurement process for the supply of the Flat Information Display System (FIDS) by writing the recommendation and justification for a Single source procurement and also defined the technical specifications. As Vendor 1 was only able to supply but not to cable the FIDS, another tender had to be launched for the FIDS cabling. Winner of this tender was Vendor 2.

Background Information

The Single Source Procurement (Purchase and supply of FIDS) started on 17 October 2002 with a written recommendation and justification by Vendor 2 Representative. The purchase of additional FIDS became necessary because of the expansion of the Passenger Terminal Building. The already existing system had been provided by Vendor 1, therefore the Airport Management decided to choose Vendor 1 again.

The Capital Expenditure Approval and contract were signed on 13 December 2002. The procurement file does not show why Vendor 1 only delivered the FIDS but did not cable it. The need for cabling the FIDS resulted in another tender that commenced in March 2004. According to the procurement file it appeared that Vendor 2 won the Competitive Shopping tender with an amount of 15.919 Euro."
44.pdf,"""Investigative details

The Airport Engineer was interviewed on 11 October 2004, as he/she is the responsible person to suggest new projects to the Airport Management. The Airport Engineer stated that he/she was at no time involved in the FIDS purchase and did not request the support by Vendor 2 Representative with regard to recommend and justify the FIDS supply. The Airport Engineer only recommended the cabling of the FIDS in a note to the Airport Management; all following procedures are under the responsibility of the procurement unit and the management.

The Sales Manager of Vendor 1 was interviewed on the phone on 30 August 2004. Asked why Vendor 1 did not provide with the cabling of the FIDS he/she stated that Vendor 1’s management did not allow traveling to Kosovo at that time for security reasons. The Sales Manager of Vendor 1 also mentioned that the Airport's contact person with regard to the FIDS cabling was for him/her Vendor 2 Representative."""
45.pdf,"""Pristina Airport – Alleged administrative irregularity regarding an X-RAY Tender

Allegation

On the 29th May 2003, the Divisional Manager, Kosovo Trust Agency (KTA) [UNMIK EU- Pillar IV], approved and signed a contract between Pristina Airport and the Vendor before the Capital Expenditure was formally approved by KTA.

Background Information

On 7 March 2003, Pristina Airport launched an international tender to supply X-ray equipment. On 4 April 2003, the Evaluation Committee awarded the contract to the Vendor, who had not submitted the lowest tender, but, was the only company that met the rigorous technical specifications. The Vendor is acknowledged as a world-class company specializing in such equipment.

The contract between Pristina Airport and the Vendor was concluded on 10 April 2003. It is not clear when the Vendor signed this document. The KTA Internal Auditor 1 expressed concerns over the conclusion of the contract, which resulted in the Divisional Manager signing on behalf of the Procuring Entity on 29 May 2003. KTA Official 1 also signed the contract, but did not record the date against his/her name.

The Capital Expenditure Approval, dated 19 June 2003, was signed by KTA Official 2, on 20 June 2003."""
47.pdf,"""III. INVESTIGATIVE DETAILS

The charges themselves, as calculated by the Airport Handling Services Department for Airline flights, were scrutinized against the published ""Price List for Basic Airport Services"" issued on 1 January 2002.

Details recorded on the ""Load Sheets"" confirmed the handling charge of 1074 Euros was also found to be correct. The landing charge of €676.44 was, however, reduced by 50% as this flight was identified as a ""humanitarian flight"" and as such qualified for the discount. The Official of the Passenger Handling Services, Pristina Airport told the ITF Investigators that she regarded the returning Kosovars as refugees and the discount as appropriate. The ITF Investigators checked this matter with the Official of the Airport General Services, who confirmed he/she was aware of this discount and did not dispute this interpretation of the flight."""
47.pdf,"""IV. FINDINGS AND CONCLUSIONS

There is no evidence that the Airline have sought to avoid any charges levied by Pristina Airport. All charges levied upon the Airline by Pristina Airport for incoming and outgoing flights have been paid and receipts issued. The charges applied to the Airline flights are in accordance with listed charges for services.

The identification of the flight as ""humanitarian"" is a matter for closer review by Airport Pristina management to ensure compliance with airport charges.

The recently appointed Senior Official of the Pristina Airport, when advised by the ITF of the number of cash transactions, was unaware that this practice continued within the Passenger Handling Services Department.

The information as to a credit arrangement for the Airline was also provided to the Pristina Airport Senior Official by the ITF for his/her action.

The charges shown in the ""Price List for Basic Airport Services"" correspond with those charged to the Airline. In addition, the audit trail in respect of the cash handling receipts, recording, and reconciliation with the cashbooks and airport’s records showed no discrepancies."""
47.pdf,"""III. INVESTIGATIVE DETAILS

The ITF reviewed the conventional check-in procedures at the Pristina Airport and confirmed they complied with observations provided by the Senior Official of the Pristina Airport in response to a Management Letter dated May 2004 on the 2003 Financial Audit from auditing company. An extract of the advice states the following:

Management Comment: Full integration will be achieved by the new system. At present, passenger and baggage check-in and boarding is automatically connected to the load sheet. The load sheet contains all relevant facts concerning the flight, including type and quantity of passengers. This report is signed by Airport load control staff, compared to a head-count on board the aircraft conducted by aircraft staff and is thereafter signed by the pilot before take-off. A copy of this confirmed report is used as a basis for invoicing. We use the information that later will be retrieved automatically by the new system.’

The possible loss of revenue of departing passenger taxes is another matter requiring attention from airport management."""
47.pdf,"""III. INVESTIGATIVE DETAILS

The ITF reviewed the conventional check-in procedures at the Pristina Airport and confirmed they complied with observations provided by the Senior Official of the Pristina Airport in response to a Management Letter dated May 2004 on the 2003 Financial Audit from auditing company. An extract of the advice states the following:

53. Passenger Fees
OBSERVATION
In the process of modernization of the Airport, Entity has acquired and implemented a so-called automatic checking system. This system provides accurate evidence of passengers’ arriving and departure. However, PA has still not integrated and/or connected the automatic checking system with financial reporting

54. Establishment of an integrated system could provide efficient monitoring controls and accurate evidence, completeness and reconciliation of the number of passenger recorded by the automatic checking system and the revenue from passenger fees in the financial statement."""
47.pdf,"""III. INVESTIGATIVE DETAILS

ITF Investigators asked the Official of the Passenger Handling Services, Pristina Airport to describe the airport tax obligations for such flights. The Official stated that the tax of €15 per passenger is payable in respect of departing passengers only. The Official explained that this tax is normally collected by the airlines using the check-in facilities as part of normal boarding procedures. He/She explained that the security guards and U.K. Immigration staff who remained airside awaiting return to the UK had not technically entered the Airport and as such were not liable for airport taxes. In respect of the other departing passengers, the Official said there was no obligation for the payment of this tax because neither the carrier nor the passengers used the regular check-in facilities of the Airport."""
47.pdf,"""III. INVESTIGATIVE DETAILS

Other passengers departing with the Airline met in the Airport public lounge. Their identities were checked against a list provided by an UNMIK CIVPOL officer in consultation with the Immigration representative. They then went through conventional immigration and X-Ray searches and were escorted into the departure lounge before boarding the Airline aircraft. They did not, however, pass through regular check-in procedures at any time.

ITF Investigators reviewed all paperwork relating to this flight. An Official of the Passenger Handling Services, Pristina Airport, provided the receipt book used to evidence cash payments for landing, handling and airport passenger taxes. It was noted that other airlines, particularly those not visiting Pristina on a regular basis, pay in cash for handling services.

Details shown on the records provided by Pristina Airport officials were reconciled with this receipt book. The dates, amounts and breakdown of charges were confirmed. The pilot is required to sign the receipt book, and the ITF verified the recorded signature against the Airline ""Load Sheets"" as genuine."""
47.pdf,"""III. INVESTIGATIVE DETAILS

Airline Official 1 explained that the Airline paid cash for handling and landing charges to the Pristina Airport Passenger Handling Services Department on each occasion his aircraft used the airport. Airline Official 1 explained that he/she had endeavored to open a credit account with Pristina Airport, but without success.

The ITF sought the assistance of the Security Officer at Pristina Airport, in order to monitor Airline passenger movements. On 22 July 2004, ITF Investigators monitored the Airline’s inward and outward flights and related airport activities. It was noted that whilst the arriving Kosovar passengers went through immigration procedures before entering into the arrivals lounge, the 25 security escorts and the representative of the related Immigration Department remained airside at all times awaiting instructions to return to the aircraft. They did not enter the terminal building."""
47.pdf,"""III. INVESTIGATIVE DETAILS

ITF Investigators obtained a number of documents from Pristina Airport officials including records of funds received from the Airline for the period January to June 2004. These funds are broken down into handling, landing, airport passenger, and departure tax. The schedule also lists the individual Airport receipt number recorded for each cash payment. There was no record of the Airline having paid airport tax.

ITF Investigators spoke to both Official 1 and Official 2 of the Airline and requested copies of receipts issued by Pristina Airport in respect of fees paid by the Airline to the airport, as well as the Aircraft ""Load Sheets"" for May and June 2004. These documents record details such as the weight of the aircraft including the MTOW (maximum take off weight)."""
47.pdf,"""II. BACKGROUND INFORMATION

The Airline flies to Pristina Airport from a European Airport every Thursday carrying Kosovar passengers who have been found to enter the referred European state illegally. The Airline is contracted with the foreign state’s Immigration Department. A representative of the Immigration Department and 25 or more ""Securicor"" security staff routinely escort the passengers on the flights to Pristina.

On the return leg to the mentioned state, the Airline flight carries passengers from Pristina, consisting of the returning Securicor escorts, the representative of Immigration, and in addition, a number of police officers of the concerned state currently working for UNMIK CIVPOL. These CIVPOL officers travel to the UK without payment, but with the knowledge and approval of both Airline and the U.K. Immigration Department."""
49.pdf,"""ITF investigators visited the Border Boundary Police and interviewed two current investigators. Neither officer recalled the incident, but they made extensive enquiries in an attempt to trace the police report and locate the €5,200. They were unsuccessful on both counts.

On 27 September 2004, the ITF sent a letter to UNMIK Police Officer 2, in an effort to determine what investigations had been undertaken into the matter, the result of those investigations, and the whereabouts of the money.

The UNMIK Police Officer 2 indicated that Regional Crime Squad Pristina Region was undertaking an investigation into the matter, which therefore remains an open investigation."""
49.pdf,"""INVESTIGATION DETAILS

Analysis of the note written by the PEAP Official suggests that the company referred to in his note as “escavator” is in fact Company 1, who won the contract for the construction of the new car park at Pristina Airport and whose representative attended a meeting in the PEAP Official’s office one day prior to the discovery of the money.

The sum of €5,200 alleged to have been left in the envelope is unusual, since one would expect the sum to have been a “round sum” such as €5000.

It should be noted that an interoffice memorandum from a former Airport Engineer to the KTA Procurement Specialist, dated 26 September 2002, alleged that the PEAP Official had accepted an open envelope of documents relating to the car park tender from Company 2, after the time for submission of bids had concluded and contrary to accepted procurement procedures on the handling of bids. (This allegation is addressed in ITF Case No. 0274/04)"""
49.pdf,"""INTRODUCTION

On 29 April 2004 a Divisional Manager, UNMIK Pillar IV, alleged that in October 2002, an envelope containing €5200 was left in the office of an official of Public Enterprise Airport Pristina (PEAP), by an unidentified individual. On 4 October 2002, a group of approximately 8 persons, including a KTA Procurement Specialist and Company 1 representative, had attended a meeting in his office concerning a procurement contract for the building of a new car park at Pristina International Airport.

APPLICABLE TERRITORIAL LAWS AND UNITED NATIONS PROCEDURAL RULES

This case concerns an allegation of attempted bribery and corruption as cited in
Article 344 of the Provisional Criminal Code of Kosovo."""
49.pdf,"""BACKGROUND INFORMATION

On 29 April 2004, the Divisional Manager advised the ITF of an incident which had occurred “sometime in October 2002”, which he/she “thought” he/she had raised with the ITF previously. However, no evidence of this report could be located nor recalled by any members of the ITF.

The Divisional Manager provided the ITF with a copy of documents passed to an UNMIK police officer, on 11 October 2002 at UNMIK Police in Fush, Kosovo, concerning the incident.

The documents consist of a letter from the Divisional Manager to the UNMIK Police Officer dated 11 October 2002, and a file note from the PEAP Official, dated 8 October 2002, to the Divisional Manager, detailing the incident and annexing a list of serial numbers of Euro notes totalling €5,200 alleged to have been left in the PEAP official’s diary in his office."""
49.pdf,"""The KTA Procurement Specialist also indicated that he/she did not see anything placed in the PEAP Official’s office or diary, although he/she later heard about the incident. He/she expressed his/her opinion that the incident had been arranged to “break up” the contract with Company 1 but did not indicate by whom.

The ITF reviewed the letter from the Divisional Manager to the UNMIK Police Officer, which indicates that the matter was referred to the UNMIK police on 11 October 2002. The letter also records that the sum of €5,200 was handed to the UNMIK Police Officer.

The UNMIK Police Officer, who is now based in Iraq, told the ITF that he/she served in Kosovo between June 2001 and November 2002 and recalls the incident being reported. He/she stated that at that time he/she was serving with the Border Police Investigations Unit and had assigned this enquiry to his then supervisor. The latter was unable to be interviewed as he/she had left the Mission."""
49.pdf,"""The KTA Procurement Specialist told the ITF that a meeting had been held in the PEAP Official’s office with Company 1, attended by the Company 1 Representative and a Company 1 engineer. The purpose of the meeting had been to hand the contract for the new car park to Company 1 and the Company 1 Representative to sign it. The KTA Procurement Specialist indicated that there were three or four other persons present, two of whom, he/she thought may be two staff members of Pristina Airport. The KTA Procurement Specialist added that it was normal practice for the party winning the bid to be invited to sign the contract in this way."""
5.pdf,"METHODOLOGY

This investigation was conducted pursuant to Executive Decision No 2003/16 on the establishment of the Investigation Task Force. The ITF investigators conducted an enquiry into the allegations raised by interviews with persons indicated to be witnesses and persons potentially implicated in the allegations; by obtaining documents from the Pristina Airport administration and from Pillar IV, which were then analysed for relevance to the inquiry at hand.

BACKGROUND INFORMATION

Pristina International Airport constitutes a state owned enterprise under Yugoslavian law. The assets of the airport include the runways, terminal buildings, hanger, fuel storage facilities and equipment. During the period covered by this investigation, from 2001 until 2003, they were maintained by the Public Enterprise Airport Pristina, (PEAP) in cooperation with Military Units of the Kosovo Force (KFOR). Pursuant to United Nations Security Council Resolution 1244 dated 10 June 1999, and UNMIK Regulation No 1/1999 dated 25 July 1999.
UNMIK is mandated to administer the territory of Kosovo, including state owned and publicly owned assets. This includes Pristina International Airport.

Until the end of June 2002, responsibility for the administration of the Pristina Airport was entrusted to the Civil Administration Pillar (Pillar II) of UNMIK, including Official 1 and Official 2. Pillar II supervised the Department of Transport and Infrastructure (DOTI) Official 1. The DOTI was later known as the Transport Sector of the UNMIK Directorate of Infrastructure Affairs. DOTI Official 1 left UNMIK at the end of June 2002. DOTI Official 2 was recruited by the DOTI as an international staff member on 31 July 2000 in charge of airport operations,
reporting to DOTI Official 1, and continued in this role until 30 September 2001. Engineering expertise was provided by a series of engineers seconded from a member state’s armed forces specifically Airport Engineer I, Airport Engineer 2 and Airport Engineer 3, and later by the Consultant from the Consulting Firm

On 1 July 2002, the responsibility for the administration of the Airport passed from Pillar II to the Kosovo Trust Agency (KTA) and Pillar IV. The Divisional Manager was appointed at the Airport Sector, KTA at the same time. Under him/her were the PEAP Official and the Air Traffic Control Services (ATCS) Official 1.

On 1 April 2004 Pristina International Airport, which had until that time been under the jurisdiction of KFOR, was handed over to civilian jurisdiction, under ICAO regulations.

It is against this background of change that procurement procedures relating to
the following contract have been examined."
51.pdf,"""IV. CRIMINAL VIOLATIONS

Based on the referral from the ITF to the Department of Justice on 26 July 2004, arrest warrants were issued against Official 1 and Official 2. Each charge is detailed below:

Count 1

That between the dates 14th March 2004 and 16th March 2004 inclusive, Official 1 and Official 2 acting in their capacity as officials of Airport Pristina, and acting in complicity with the intention to obtain an unlawful material benefit, presented a representative of the Company with a false statement of account claiming reduced storage fees, and in so doing, misled an authorized person to carry out an unlawful payment, thereby committing the offence of Fraud in Service in violation of Article 215, (1) and (2) of the Kosovo Criminal Code (KCC) punishable by imprisonment of one to ten years

{equivalent to Fraud in Office contrary to Article 341 (1) and (2) of Provisional Kosovo Criminal Code (PCCK)};

and Complicity, in violation of Article 22 of Criminal Code of SFRY,( equivalent to Co- Perpetration, in violation of PCCK Article 23)"""
51.pdf,"""III. INVESTIGATIVE DETAILS

On the 16th of March 2004, Partner 1 paid the €8,000.00 to the Company Representative, who then went to Pristina Airport to hand it to Official 1. The Company Representative stated that the hand-over of the cash to Official 1 took place outside the airport terminal gate. The Airport X-Ray Operator, who observed the meeting between the two men, corroborated the fact that the meeting took place as stated.

ITF Investigators visited the Cargo Department Finance Office to check official documentation in relation to the Company merchandise. No trace of the payment of the €8,000 could be found in the Cargo Department account books for 2003 or 2004.

According to the tariff list that the Finance Officer of the Cargo Section provided to the ITF, the Company should have paid an amount of approximately €32,000.00 for storage fees from the 23rd of December 2003 to 15th of March 2004."""
51.pdf,""" II. Background

ITF Investigators met with the Company Representative, who explained that a part of his business involves the importation and marketing of LED display equipment. The Company consists of 4 partners:
• Partner 1
• Partner 2
• Partner 3
• Partner 4

The above company partners agreed to the following regarding the various payments to be effected as follows:
• Partner 2 and Partner 3 were to pay the total price of all the goods;
• Partner 1 was to pay everything regarding VAT, Custom Duties, Local Taxes and Storage.

III. THE DUTIES AND RESPONSIBILITIES OF AIRPORT PRISTINA CARGO OFFICIALS

It was Official 2’s responsibility to ensure that storage fees were paid and a record of the payments be kept. The procedure for recording payments is that the airway bill with a customs stamp should have been provided to the Finance Officer whereby he/she then calculates the storage fees owed. Before individuals or companies were allowed to retrieve their goods, this fee had to be paid pursuant to an official invoice. In this instant case, there is no record of such an invoice or any such payment. The absence of such a record is highly unusual and establishes that monies owed to the airport were not received in this case.

Official 1 worked in the Cargo Handling Office at the Airport. As with Official 2, it was Official 1’s duty to ensure that all payments made by customers of the airport complied with the applicable regulations and instructions."""
52.pdf,"""APPLICABLE TERRITORIAL LAWS:

Pursuant to the authority given to The Special Representative of the Secretary-General, under United Nations Security Council Resolution 1244 (1999) of 10 June 1999, taking into account United Nations Interim Administration Mission in Kosovo (UNMIK) Regulation No. 1999/1 of 25 July 1999 on the Authority of the Interim Administration in Kosovo, for the purpose of defining the law applicable in Kosovo, the SRSG promulgated that the law applicable in Kosovo shall be:
a. The regulations promulgated by the Special Representative of the Secretary-General and subsidiary instruments issued thereunder; and

b. The law in force in Kosovo on 22 March 1989.

The ITF Investigators considered possible breaches of the Provisional Criminal Code of Kosovo, especially Article 339 (Abusing Official Position of Authority); Article 340 (Misappropriation in Office); and Article 341 (Fraud in Office)."""
